open,high,low,close,volume,timestamp
49712.55078125,49798.1015625,49230.1484375,49503.5,136400,2025-01-09
49426.5,49483.1484375,48631.19921875,48734.1484375,142400,2025-01-10
48264.25,48606.3515625,47898.3515625,48041.25,168800,2025-01-13
48266.8984375,49007.3515625,48235.19921875,48729.1484375,151900,2025-01-14
48832.75,49083.6484375,48522.3984375,48751.69921875,145100,2025-01-15
49082.8984375,49459.0,49038.44921875,49278.69921875,146700,2025-01-16
48959.5,49047.19921875,48309.5,48540.6015625,130600,2025-01-17
48834.1484375,49650.6015625,48683.6015625,49350.80078125,173100,2025-01-20
49532.0,49543.1484375,48430.94921875,48570.8984375,134700,2025-01-21
48689.55078125,48781.75,48074.05078125,48724.3984375,151700,2025-01-22
48770.1484375,48892.69921875,48493.0,48589.0,124600,2025-01-23
48546.05078125,48858.6484375,48203.0,48367.80078125,139900,2025-01-24
47881.6484375,48319.19921875,47844.1484375,48064.6484375,271800,2025-01-27
48642.5,49247.1484375,48449.05078125,48866.8515625,299900,2025-01-28
48997.19921875,49199.6484375,48849.80078125,49165.94921875,177200,2025-01-29
49206.19921875,49426.19921875,49031.80078125,49311.94921875,197900,2025-01-30
49259.6484375,49674.80078125,49031.80078125,49587.19921875,232000,2025-01-31
49074.80078125,49373.44921875,48906.05078125,49210.55078125,122900,2025-02-03
49538.80078125,50206.6015625,49482.5,50157.94921875,155700,2025-02-04
50402.30078125,50522.1484375,50215.44921875,50343.05078125,149000,2025-02-05
50468.3515625,50553.3515625,50149.80078125,50382.1015625,158400,2025-02-06
50484.44921875,50641.75,49871.1484375,50158.8515625,178700,2025-02-07
50052.5,50155.6484375,49703.1015625,49981.0,98400,2025-02-10
49812.1484375,49906.75,49177.3984375,49403.3984375,127000,2025-02-11
49402.25,49702.3515625,48734.3515625,49479.44921875,136500,2025-02-12
49469.3515625,49836.1015625,49276.1015625,49359.8515625,118600,2025-02-13
49485.6484375,49592.94921875,48719.75,49099.44921875,130600,2025-02-14
48880.3984375,49319.0,48525.6015625,49258.8984375,114800,2025-02-17
49211.8515625,49328.55078125,48814.94921875,49087.30078125,107800,2025-02-18
48895.3515625,49628.25,48804.0,49570.1015625,113300,2025-02-19
49314.1015625,49455.80078125,49150.94921875,49334.55078125,112000,2025-02-20
49127.94921875,49306.55078125,48764.0,48981.19921875,95300,2025-02-21
48619.80078125,48748.3984375,48281.8984375,48651.94921875,95700,2025-02-24
48691.19921875,48862.1484375,48534.1484375,48608.3515625,106700,2025-02-25
48732.19921875,48972.55078125,48627.1015625,48743.80078125,186700,2025-02-27
48437.55078125,48574.5,48078.69921875,48344.69921875,287700,2025-02-28
48478.6015625,48574.69921875,47841.30078125,48114.30078125,151000,2025-03-03
47942.5,48374.8984375,47924.75,48245.19921875,139300,2025-03-04
48241.30078125,48657.6484375,48190.25,48489.94921875,127800,2025-03-05
48760.0,48839.1015625,48299.3984375,48627.69921875,137400,2025-03-06
48463.80078125,48709.05078125,48359.3515625,48497.5,106000,2025-03-07
48312.0,48599.1484375,48124.6484375,48216.80078125,123800,2025-03-10
47874.80078125,48029.05078125,47702.8984375,47853.94921875,222400,2025-03-11
47894.3984375,48222.1484375,47844.94921875,48056.6484375,243300,2025-03-12
48219.1484375,48352.44921875,48006.1015625,48060.3984375,145900,2025-03-13
48219.55078125,48481.3515625,48196.1015625,48354.1484375,131300,2025-03-17
48792.8984375,49400.30078125,48629.44921875,49314.5,146600,2025-03-18
49375.3984375,49807.55078125,49324.80078125,49702.6015625,137600,2025-03-19
49947.6015625,50155.30078125,49771.6484375,50062.8515625,115700,2025-03-20
49927.1015625,50672.1484375,49891.94921875,50593.55078125,225500,2025-03-21
50982.69921875,51801.1484375,50795.8984375,51704.94921875,180400,2025-03-24
51874.19921875,52063.94921875,51429.6015625,51607.94921875,185200,2025-03-25
51640.05078125,51875.80078125,51069.1484375,51209.0,152900,2025-03-26
51084.69921875,51714.3515625,51050.8515625,51575.8515625,415800,2025-03-27
51608.3984375,51839.1015625,51335.3515625,51564.8515625,171200,2025-03-28
51178.1484375,51683.8515625,50742.0,50827.5,176300,2025-04-01
50966.8984375,51404.19921875,50908.3515625,51348.05078125,149900,2025-04-02
50910.0,51661.6015625,50906.6484375,51597.3515625,291200,2025-04-03
51711.6015625,51893.6015625,51360.3984375,51502.69921875,189600,2025-04-04
49336.1015625,50426.25,49156.94921875,49860.1015625,236800,2025-04-07
50388.55078125,50793.69921875,50030.80078125,50511.0,162300,2025-04-08
50487.1015625,50496.8984375,49910.8515625,50240.1484375,141800,2025-04-09
50634.1015625,51244.69921875,50634.1015625,51002.3515625,140000,2025-04-11
52299.0,52486.3515625,51863.30078125,52379.5,203800,2025-04-15
52690.8984375,53164.44921875,52471.3515625,53117.75,200500,2025-04-16
53153.75,54407.19921875,53084.8984375,54290.19921875,294900,2025-04-17
54891.25,55461.6484375,54674.94921875,55304.5,300,2025-04-21
55414.30078125,55961.19921875,55243.55078125,55647.19921875,276900,2025-04-22
56097.1015625,56098.69921875,55162.5,55370.05078125,245500,2025-04-23
55103.8984375,55550.44921875,55088.3984375,55201.3984375,233200,2025-04-24
55233.55078125,55350.55078125,54176.44921875,54664.05078125,210800,2025-04-25
54610.30078125,55577.3984375,54582.3515625,55432.80078125,178600,2025-04-28
55524.3515625,55957.75,55262.3984375,55391.25,193900,2025-04-29
55382.3984375,55478.25,54723.69921875,55087.1484375,193500,2025-04-30
55100.94921875,55691.94921875,54994.3984375,55115.3515625,154200,2025-05-02
55065.80078125,55345.5,54786.5,54919.5,139400,2025-05-05
54918.25,55036.94921875,54172.94921875,54271.3984375,198700,2025-05-06
54013.3984375,54684.30078125,53919.8984375,54610.8984375,268900,2025-05-07
54801.75,54937.25,54108.0,54365.6484375,302200,2025-05-08
53595.94921875,54054.80078125,53483.05078125,53595.25,179300,2025-05-09
54658.75,55466.30078125,54558.05078125,55382.8515625,199600,2025-05-12
55233.5,55499.6484375,54888.5,54940.8515625,190000,2025-05-13
55008.55078125,55208.6015625,54491.0,54801.30078125,145200,2025-05-14
54853.69921875,55490.55078125,54442.30078125,55355.6015625,138400,2025-05-15
55276.0,55418.8984375,55170.25,55354.8984375,136000,2025-05-16
55326.05078125,55695.55078125,55296.55078125,55420.69921875,138100,2025-05-19
55445.30078125,55568.3515625,54829.44921875,54877.3515625,143400,2025-05-20
55060.19921875,55336.8515625,54690.80078125,55075.1015625,119500,2025-05-21
54875.8984375,54996.1015625,54576.6015625,54941.30078125,148200,2025-05-22
54959.30078125,55441.30078125,54854.5,55398.25,88900,2025-05-23
55534.8984375,55875.75,55307.5,55572.0,90800,2025-05-26
55458.94921875,55831.3515625,55037.8515625,55352.80078125,145400,2025-05-27
55328.6015625,55521.80078125,55235.55078125,55417.0,128300,2025-05-28
55571.3984375,55782.75,55096.44921875,55546.05078125,185700,2025-05-29
55615.55078125,55813.30078125,55356.6015625,55749.69921875,281100,2025-05-30
55598.25,55966.30078125,55400.55078125,55903.3984375,211300,2025-06-02
56104.80078125,56161.3984375,55455.80078125,55599.94921875,212800,2025-06-03
55650.3515625,55791.0,55408.3515625,55676.8515625,151500,2025-06-04
55806.75,56010.1484375,55580.44921875,55760.8515625,141300,2025-06-05
55699.44921875,56695.0,55534.75,56578.3984375,347000,2025-06-06
57049.5,57049.5,56792.69921875,56839.6015625,207500,2025-06-09
56993.8984375,57015.3984375,56564.1484375,56629.1015625,146000,2025-06-10
56639.8515625,56782.5,56399.3984375,56459.75,135300,2025-06-11
56480.8984375,56611.05078125,55968.5,56082.55078125,135300,2025-06-12
55149.30078125,55688.0,55149.30078125,55527.3515625,142000,2025-06-13
55554.1015625,55999.8515625,55381.44921875,55944.8984375,107700,2025-06-16
55975.0,56067.30078125,55643.94921875,55714.1484375,106300,2025-06-17
55544.94921875,55933.6015625,55511.80078125,55828.75,116400,2025-06-18
55784.8515625,55942.44921875,55475.44921875,55577.44921875,131300,2025-06-19
55566.69921875,56328.19921875,55566.3984375,56252.8515625,161500,2025-06-20
55832.3515625,56233.55078125,55779.25,56059.3515625,86800,2025-06-23
56529.44921875,56862.0,56276.1484375,56461.8984375,132900,2025-06-24
56564.5,56681.3984375,56420.6484375,56621.1484375,98700,2025-06-25
56693.55078125,57263.44921875,56558.3515625,57206.69921875,176500,2025-06-26
57234.69921875,57475.3984375,56993.8515625,57443.8984375,238000,2025-06-27
57529.94921875,57614.5,57193.80078125,57312.75,183000,2025-06-30
57375.80078125,57533.8515625,57150.3515625,57459.44921875,283300,2025-07-01
57558.19921875,57628.3984375,56833.80078125,56999.19921875,169600,2025-07-02
57050.3984375,57193.25,56764.1015625,56791.94921875,149900,2025-07-03
56825.25,57075.1015625,56623.6015625,57031.8984375,93900,2025-07-04
56938.69921875,57152.19921875,56838.55078125,56949.19921875,103300,2025-07-07
56942.55078125,57303.30078125,56923.05078125,57256.30078125,105500,2025-07-08
57199.75,57290.6484375,57037.8984375,57213.55078125,91100,2025-07-09
57339.75,57363.69921875,56886.6015625,56956.0,102000,2025-07-10
56843.44921875,57091.05078125,56607.75,56754.69921875,95500,2025-07-11
56780.75,56896.30078125,56594.25,56765.3515625,123000,2025-07-14
56709.19921875,57134.94921875,56707.80078125,57006.6484375,124600,2025-07-15
57111.25,57276.55078125,56937.6015625,57168.94921875,161300,2025-07-16
57231.94921875,57262.8515625,56780.1484375,56828.80078125,129800,2025-07-17
56524.25,56705.1484375,56204.8515625,56283.0,141200,2025-07-18
56558.8984375,56983.44921875,56255.69921875,56952.75,133700,2025-07-21
57253.3515625,57286.1484375,56692.0,56756.0,132800,2025-07-22
56918.1484375,57249.0,56715.80078125,57210.44921875,129800,2025-07-23
57316.6015625,57316.6015625,56850.8984375,57066.05078125,179800,2025-07-24
57170.69921875,57170.69921875,56439.3984375,56528.8984375,125100,2025-07-25
56215.1015625,56578.3984375,55997.44921875,56084.8984375,145700,2025-07-28
55881.80078125,56296.3984375,55843.25,56222.0,145100,2025-07-29
56310.1015625,56321.1484375,56064.55078125,56150.69921875,139700,2025-07-30
55728.1484375,56406.19921875,55547.3515625,55961.94921875,182800,2025-07-31
55897.1484375,56097.6015625,55562.1015625,55617.6015625,98900,2025-08-01
55557.5,55752.44921875,55437.30078125,55619.3515625,131100,2025-08-04
55545.05078125,55648.1484375,55202.8515625,55360.25,105700,2025-08-05
55329.80078125,55559.3984375,55227.69921875,55411.1484375,117600,2025-08-06
55215.6484375,55614.80078125,54973.55078125,55521.1484375,95500,2025-08-07
55609.3515625,55652.6015625,54905.6015625,55004.8984375,97300,2025-08-08
54999.3515625,55582.1484375,54927.55078125,55510.75,105200,2025-08-11
55441.1015625,55566.69921875,55001.5,55043.69921875,74700,2025-08-12
55340.05078125,55340.05078125,55026.94921875,55181.44921875,80100,2025-08-13
55102.55078125,55472.80078125,55074.30078125,55341.8515625,74200,2025-08-14
55940.6015625,56156.30078125,55647.6484375,55734.8984375,101700,2025-08-18
55622.30078125,55965.55078125,55608.1484375,55865.1484375,89300,2025-08-19
55751.5,55812.6015625,55577.3515625,55698.5,69100,2025-08-20
55972.05078125,55993.6484375,55708.19921875,55755.44921875,70300,2025-08-21
55669.25,55745.0,55102.6015625,55149.3984375,77100,2025-08-22
55147.75,55306.0,55048.3984375,55139.30078125,79900,2025-08-25
54999.05078125,55068.8984375,54396.1015625,54450.44921875,123800,2025-08-26
54256.0,54382.25,53768.44921875,53820.3515625,134300,2025-08-28
53660.3515625,54086.0,53606.44921875,53655.6484375,103900,2025-08-29
53658.1484375,54035.8515625,53658.1484375,54002.44921875,78000,2025-09-01
54038.25,54160.94921875,53578.0,53661.0,77500,2025-09-02
53630.75,54136.1484375,53561.75,54067.55078125,100100,2025-09-03
54379.6015625,54450.55078125,53971.8515625,54075.44921875,120000,2025-09-04
54308.05078125,54308.05078125,53719.55078125,54114.55078125,79900,2025-09-05
54215.3984375,54518.69921875,54067.1484375,54186.8984375,76300,2025-09-08
54330.55078125,54350.6484375,54079.44921875,54216.1015625,93800,2025-09-09
54554.75,54705.19921875,54400.0,54536.0,116900,2025-09-10
54413.05078125,54757.44921875,54402.3984375,54669.6015625,96900,2025-09-11
54781.55078125,54852.25,54580.3515625,54809.30078125,80100,2025-09-12
54884.05078125,55018.69921875,54807.5,54887.8515625,72000,2025-09-15
54778.3984375,55185.44921875,54777.75,55147.6015625,98700,2025-09-16
55158.3515625,55540.75,55146.55078125,55493.30078125,155300,2025-09-17
55797.1015625,55835.25,55490.8984375,55727.44921875,134300,2025-09-18
55647.94921875,55688.75,55355.30078125,55458.8515625,190000,2025-09-19
55429.30078125,55666.3515625,55215.6015625,55284.75,118600,2025-09-22
55248.69921875,55662.0,55159.0,55509.75,171200,2025-09-23
55387.1015625,55511.1015625,55040.44921875,55121.5,172000,2025-09-24
55061.6484375,55276.6484375,54903.30078125,54976.19921875,158400,2025-09-25
54797.8984375,54897.0,54310.94921875,54389.3515625,127700,2025-09-26
54460.3984375,54686.05078125,54226.6015625,54461.0,218300,2025-09-29
54705.5,54793.05078125,54502.94921875,54635.8515625,206900,2025-09-30
54653.8984375,55406.75,54582.55078125,55347.94921875,173000,2025-10-01
55182.6015625,55616.44921875,55177.0,55589.25,156900,2025-10-03
55834.69921875,56164.19921875,55727.25,56104.8515625,162600,2025-10-06
56126.3984375,56502.44921875,56025.05078125,56239.3515625,153700,2025-10-07
56098.5,56303.6015625,55821.0,56018.25,133600,2025-10-08
55979.0,56286.25,55843.8984375,56192.05078125,118000,2025-10-09
56168.6015625,56760.25,56152.44921875,56609.75,163000,2025-10-10
56337.05078125,56770.8984375,56327.3984375,56625.0,123500,2025-10-13
56598.6484375,56721.30078125,56230.1484375,56496.44921875,129800,2025-10-14
56528.94921875,56922.69921875,56491.8515625,56799.8984375,123700,2025-10-15
57139.94921875,57525.80078125,56994.69921875,57422.55078125,148600,2025-10-16
57362.8984375,57830.19921875,57238.6484375,57713.3515625,147200,2025-10-17
57872.8515625,58261.55078125,57872.8515625,58033.19921875,341700,2025-10-20
58063.3984375,58155.55078125,57887.19921875,58007.19921875,39000,2025-10-21
58314.55078125,58577.5,57951.44921875,58078.05078125,291600,2025-10-23
58172.75,58232.8984375,57482.05078125,57699.6015625,132100,2025-10-24
57796.44921875,58224.55078125,57652.75,58114.25,153000,2025-10-27
58006.55078125,58313.80078125,57770.3515625,58214.1015625,256100,2025-10-28
58316.25,58469.8984375,58087.05078125,58385.25,151800,2025-10-29
58152.05078125,58331.19921875,57999.19921875,58031.1015625,223000,2025-10-30
57942.44921875,58254.94921875,57656.94921875,57776.3515625,307900,2025-10-31
57726.8515625,58247.55078125,57718.3984375,58101.44921875,27800,2025-11-03
57966.6484375,58119.6484375,57732.94921875,57827.05078125,168600,2025-11-04
57714.80078125,57945.05078125,57521.0,57554.25,170400,2025-11-06
57391.3984375,58001.3515625,57157.8515625,57876.80078125,142400,2025-11-07
57846.19921875,58097.19921875,57846.19921875,57937.55078125,123400,2025-11-10
57962.30078125,58187.3515625,57594.25,58138.1484375,119600,2025-11-11
58505.3515625,58507.69921875,58171.8515625,58274.6484375,149300,2025-11-12
58158.75,58615.94921875,58127.1015625,58381.94921875,121200,2025-11-13
58050.0,58590.1484375,58050.0,58517.55078125,114800,2025-11-14
58696.30078125,59001.55078125,58605.30078125,58962.69921875,157500,2025-11-17
58990.5,59103.6484375,58798.8984375,58899.25,145500,2025-11-18
58908.1484375,59264.25,58688.55078125,59216.05078125,149800,2025-11-19
59308.19921875,59440.1015625,59125.25,59347.69921875,120000,2025-11-20
59116.69921875,59232.1484375,58823.6484375,58867.69921875,121400,2025-11-21
58996.8984375,59309.8984375,58649.5,58835.3515625,190400,2025-11-24
58925.6484375,59166.1484375,58746.19921875,58820.30078125,137400,2025-11-25
58783.05078125,59554.94921875,58783.05078125,59528.05078125,140200,2025-11-26
59605.30078125,59866.6015625,59523.0,59737.30078125,137800,2025-11-27
59758.69921875,59897.5,59598.94921875,59752.69921875,100000,2025-11-28
60102.05078125,60114.30078125,59527.6015625,59681.3515625,122300,2025-12-01
